model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
1b,confidence,0,late,random_orthogonal,0.017976290866499718,0.0,1.9383640587329865,1.0,2.9225227200058155e-06,320
1b,confidence,0,mid,linear_probe,0.017400446347892232,0.0,5.536509603261948,1.0,4.7606165509250785e-06,160
1b,confidence,0,mid,mean_diff,0.017451937892474175,0.0,5.548088952898979,1.0,4.819625286245355e-06,160
1b,confidence,0,mid,random_orthogonal,0.01754603342851619,0.0,5.576898664236069,1.0,4.714552174789332e-06,160
1b,empathy,-1,early,linear_probe,0.019761270558228673,0.2910848207745472,7.264679864048958,0.7089151792254528,0.00011636039955076486,320
1b,empathy,-1,early,mean_diff,0.017630124182323875,0.29888245496958793,6.561079732328653,0.7011175450304121,8.915957460543289e-05,320
1b,empathy,-1,early,random_orthogonal,0.022718587954295752,0.2891306217082289,7.786652261018753,0.7108693782917711,0.00010333664177435844,320
1b,empathy,-1,late,linear_probe,0.007507124049880028,0.27796072165704266,1.7463511003181338,0.7220392783429572,8.039154757851191e-05,320
1b,empathy,-1,late,mean_diff,0.007609847253479481,0.2787174310701918,1.7888642992824315,0.7212825689298081,9.542831789983724e-05,320
1b,empathy,-1,late,random_orthogonal,0.006992653543420551,0.30709201112829904,1.5834124833345413,0.6929079888717009,4.212058464929554e-05,320
1b,empathy,-1,mid,linear_probe,0.017739116901066103,0.277306065086605,6.365957218408584,0.722693934913395,0.000297112966245511,160
1b,empathy,-1,mid,mean_diff,0.01802057020831848,0.2808964740357233,6.259004774689674,0.7191035259642766,0.0002396888272869174,160
1b,empathy,-1,mid,random_orthogonal,0.016717500594677352,0.2724163136005314,5.450017145276069,0.7275836863994686,0.00010363956346279583,160
1b,empathy,0,early,linear_probe,0.04087334219366308,0.34132919476079465,75.6815535724163,0.6586708052392053,1.4320583861149317e-05,320
1b,empathy,0,early,mean_diff,0.04323894577100868,0.39624455156239236,85.20891094207764,0.6037554484376076,1.2521749805216587e-05,320
1b,empathy,0,early,random_orthogonal,0.023011791228782327,0.07086238733351516,24.55705924332142,0.9291376126664849,1.2650237035671807e-05,320
1b,empathy,0,late,linear_probe,0.018148865987313866,0.0,1.948784101754427,1.0,2.8863354380348484e-06,320
1b,empathy,0,late,mean_diff,0.018205779051640957,0.0,1.949487240985036,1.0,2.8968202531842733e-06,320
1b,empathy,0,late,random_orthogonal,0.017932659509824537,0.0,1.936212569475174,1.0,2.915223826605029e-06,320
1b,empathy,0,mid,linear_probe,0.017365098174195688,0.0,5.568043693900108,1.0,5.339308400209574e-06,160
1b,empathy,0,mid,mean_diff,0.0174180813482962,0.0,5.589169919490814,1.0,5.456612900189839e-06,160
1b,empathy,0,mid,random_orthogonal,0.017632683331612446,0.0,5.580482497811317,1.0,4.806084848496539e-06,160
1b,politeness,-1,early,linear_probe,0.02180314114957577,0.2582726573967674,7.2746248379349705,0.7417273426032326,6.052436245908222e-05,320
1b,politeness,-1,early,mean_diff,0.021105009957682296,0.27733077569239367,7.128337208926678,0.7226692243076063,6.108181414389592e-05,320
1b,politeness,-1,early,random_orthogonal,0.022732939175330053,0.2882096319547605,7.7880515858531,0.7117903680452395,0.00010239579797255896,320
1b,politeness,-1,late,linear_probe,0.008151919775991652,0.2340925515465726,1.8513388264924289,0.7659074484534274,0.00012150852046485809,320
1b,politeness,-1,late,mean_diff,0.008300170920847401,0.2387643643115845,1.9003431413322687,0.7612356356884156,0.00014316703077381346,320
1b,politeness,-1,late,random_orthogonal,0.006990765317459539,0.3079014318908644,1.5834348208270967,0.6920985681091356,4.2183287007446034e-05,320
1b,politeness,-1,mid,linear_probe,0.01673139566555614,0.23405760704661263,5.893023231625557,0.7659423929533873,0.00019464097238139176,160
1b,politeness,-1,mid,mean_diff,0.016793381952447766,0.25037569222697387,5.838909688591957,0.749624307773026,0.00017290491182391022,160
1b,politeness,-1,mid,random_orthogonal,0.016731118835741604,0.2730464523100843,5.4487643271684645,0.7269535476899157,0.00010318038722514382,160
1b,politeness,0,early,linear_probe,0.023936746700201142,0.0923972913297811,25.99257728457451,0.9076027086702189,1.309471521864225e-05,320
1b,politeness,0,early,mean_diff,0.02073593018576498,0.006879121531641444,16.99693191051483,0.9931208784683585,1.2830525651708058e-05,320
1b,politeness,0,early,random_orthogonal,0.02282115607522423,0.07426242882341338,23.349063336849213,0.9257375711765865,1.2517324280736375e-05,320
1b,politeness,0,late,linear_probe,0.018116789142368313,0.0,1.9430716186761856,1.0,2.923465982362927e-06,320
1b,politeness,0,late,mean_diff,0.01819975383114065,0.0,1.94621373526752,1.0,3.229857630415722e-06,320
1b,politeness,0,late,random_orthogonal,0.017947101412573784,0.0,1.9369851164519787,1.0,2.9253563312181543e-06,320
1b,politeness,0,mid,linear_probe,0.016901361639611368,0.0,5.460975721478462,1.0,5.098158713678913e-06,160
1b,politeness,0,mid,mean_diff,0.01678648119559505,0.0,5.443159565329552,1.0,4.762240135391949e-06,160
1b,politeness,0,mid,random_orthogonal,0.017633742827456406,0.0,5.58108951151371,1.0,4.682665652921969e-06,160
2.8b,confidence,-1,early,linear_probe,0.013405120569223026,0.008207239658127747,20.82738863527775,0.9917927603418721,0.0002488460794551952,320
2.8b,confidence,-1,early,mean_diff,0.012739730850444126,0.04359825114221925,21.525415025651455,0.9564017488577807,0.00025801882580931735,320
2.8b,confidence,-1,early,random_orthogonal,0.012224060986773063,0.004396536060746586,19.17225649356842,0.9956034639392535,0.00020791461255950026,320
2.8b,confidence,-1,late,linear_probe,0.01380914237815882,0.0,3.8208187360316517,1.0,0.0013179229721117227,320
2.8b,confidence,-1,late,mean_diff,0.01406411115749501,0.00011567341602592657,3.9133631121367216,0.9998843265839741,0.00164003032468822,320
2.8b,confidence,-1,late,random_orthogonal,0.012317880454065693,0.0,3.6817770801484584,1.0,0.0001699307879675576,320
2.8b,confidence,-1,mid,linear_probe,0.013718403267557683,0.0015913237920063862,12.579568481445312,0.9984086762079937,0.00027299573484920725,160
2.8b,confidence,-1,mid,mean_diff,0.014087229137658095,0.013215156633676728,14.469411152601243,0.9867848433663232,0.00031003725734985615,160
2.8b,confidence,-1,mid,random_orthogonal,0.013170956587418865,0.0014606447389841576,11.978392839431763,0.9985393552610159,0.00023095388742145863,160
2.8b,confidence,0,early,linear_probe,0.015945822291541782,0.0,17.852577835321426,1.0,0.0005788316625057131,320
2.8b,confidence,0,early,mean_diff,0.01400431201909664,0.0,17.528340995311737,1.0,0.0006212139248872939,320
2.8b,confidence,0,early,random_orthogonal,0.01614950955263334,0.0,17.445023000240326,1.0,0.0005642942461008213,320
2.8b,confidence,0,late,linear_probe,0.021143104619113676,0.0,4.121761575341225,1.0,0.00017845734062970877,320
2.8b,confidence,0,late,mean_diff,0.02159950876375655,0.0,4.172381110489368,1.0,0.0002076458358260108,320
2.8b,confidence,0,late,random_orthogonal,0.019631736067822148,0.0,4.027143895626068,1.0,0.00016094610157038036,320
2.8b,confidence,0,mid,linear_probe,0.01893385668518016,0.0,12.430330783128738,1.0,0.0006213181770362513,160
2.8b,confidence,0,mid,mean_diff,0.014701839711051401,0.0,11.955195248126984,1.0,0.000665882410066792,160
2.8b,confidence,0,mid,random_orthogonal,0.01762689679162572,0.0,10.952071279287338,1.0,0.0004997874495074422,160
2.8b,empathy,-1,early,linear_probe,0.012948408891679673,0.005650635869868104,20.249616545438766,0.994349364130132,0.0002552287050320591,320
2.8b,empathy,-1,early,mean_diff,0.013034232513746196,0.007418031424644702,19.94706886410713,0.9925819685753552,0.00025985805857541147,320
2.8b,empathy,-1,early,random_orthogonal,0.012265103937534104,0.0048591342935676435,19.261691510677338,0.9951408657064323,0.00020852286615987708,320
2.8b,empathy,-1,late,linear_probe,0.013486114461556958,0.0,3.771100943163037,1.0,0.0008241761839144091,320
2.8b,empathy,-1,late,mean_diff,0.013500228383054442,0.0,3.7656240593641996,1.0,0.0008775236092332699,320
2.8b,empathy,-1,late,random_orthogonal,0.012324453091423446,0.0,3.685551820322871,1.0,0.00016870079301722226,320
2.8b,empathy,-1,mid,linear_probe,0.01300255265668961,0.0032271663933501936,12.086875009536744,0.9967728336066498,0.0002537870857849702,160
2.8b,empathy,-1,mid,mean_diff,0.013116352999350009,0.003997831689059684,12.16115657389164,0.9960021683109404,0.00026308434814833564,160
2.8b,empathy,-1,mid,random_orthogonal,0.0131375153723638,0.0014690281189170906,11.998545616865158,0.9985309718810829,0.00023081469157656297,160
2.8b,empathy,0,early,linear_probe,0.01872088026721026,0.0,20.494415521621704,1.0,0.0006756798011792344,320
2.8b,empathy,0,early,mean_diff,0.01718994509428734,0.0,18.865968495607376,1.0,0.0006580524268428631,320
2.8b,empathy,0,early,random_orthogonal,0.015566181769827344,0.0,17.190274566411972,1.0,0.0005242211207132172,320
2.8b,empathy,0,late,linear_probe,0.02051732956897463,0.0,4.080373361706734,1.0,0.00016567850785233735,320
2.8b,empathy,0,late,mean_diff,0.020517724624369245,0.0,4.086433455348015,1.0,0.00014864883263212663,320
2.8b,empathy,0,late,random_orthogonal,0.019604159228037994,0.0,4.0274968557059765,1.0,0.00015169543897568689,320
