model_id,model_family,model_size_label,identity_frame,concept_axis,injection_site,layer_index,layer_bucket,vector_kind,alpha,axis_shift_mean,peak_displacement_mean,total_downstream_change_mean,end_of_pass_distance_mean,recovery_fraction_mean,next_token_kl_mean,next_token_js_mean,n
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,9,late,random_orthogonal,1.0,0.00808575225760079,1.0271925330162048,105.05265092849731,0.1859183181077242,0.0,1.3002657368779182,0.3071772214025259,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,2,early,label_shuffled,-1.0,-0.0024874523441322763,0.7438764125108719,72.57715952396393,0.03055876400321722,0.09880582500369528,0.05848063714802265,0.014415300684049726,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,2,early,label_shuffled,1.0,0.002976310382620312,0.8517586588859558,83.67502224445343,0.04684896860271692,0.04168685342658223,0.12072345428168774,0.02918982016853988,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,2,early,mean_diff,-1.0,-0.012826165906958514,8.236567854881287,831.5454978942871,0.1609436795115471,0.6103076817197296,2.2727878093719482,0.35918109118938446,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,2,early,mean_diff,1.0,0.0,0.61248579621315,48.80474990606308,0.0211754753254354,0.20522561582767568,0.0570345027372241,0.014127780217677355,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,2,early,random_orthogonal,-1.0,-0.0024874523441322763,0.8196515142917633,85.29693067073822,0.04284914210438728,0.032882630376975884,0.16889066062867641,0.041423562448471785,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,2,early,random_orthogonal,1.0,0.002976310382620312,0.7441214919090271,92.39548873901367,0.050855863839387894,0.0,0.20368080213665962,0.05082443077117205,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,9,late,label_shuffled,-1.0,0.023957167315278215,0.8177559524774551,84.4511284828186,0.12069215066730976,0.0,0.815441831946373,0.15657109022140503,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,9,late,label_shuffled,1.0,0.010551723692333242,0.8607623130083084,89.46893072128296,0.13221241161227226,0.0,1.3221866488456726,0.24619292467832565,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,9,late,mean_diff,-1.0,0.0,0.34473077952861786,31.181215286254883,0.03938374016433954,0.017152898480279614,0.06374072097241879,0.015431419247761369,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,9,late,mean_diff,1.0,0.0,0.5317479819059372,39.55834126472473,0.04299214854836464,0.27209795249857566,0.07359443698078394,0.018050384940579534,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,9,late,random_orthogonal,-1.0,0.018521165118083015,0.8567991703748703,84.78277015686035,0.11886915005743504,0.0,0.49523935467004776,0.11147168278694153,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,last_prompt,9,late,random_orthogonal,1.0,0.023957167315278215,0.8412416130304337,85.47129917144775,0.1187413427978754,0.0,0.6368413791060448,0.13679922930896282,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,1,early,label_shuffled,-1.0,0.0005737315931316363,17.956565380096436,781.720178604126,0.4146325811743736,0.15272219732733597,9.20357596874237,0.6213109195232391,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,1,early,label_shuffled,1.0,0.0,0.5505788177251816,31.903368413448334,0.032804443035274744,0.0,0.16187063232064247,0.041192046366631985,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,1,early,mean_diff,-1.0,-0.002637188726050512,16.43960690498352,660.9198064804077,0.279430627822876,0.3663940001629321,6.5332454442977905,0.5758302062749863,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,1,early,mean_diff,1.0,0.0005465233835446844,0.5210806131362915,29.9994335770607,0.032224918249994516,0.0,0.17874438874423504,0.043496002443134785,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,1,early,random_orthogonal,-1.0,-0.000578073723769833,0.7004141956567764,48.45676362514496,0.05409193504601717,0.0,0.26074908301234245,0.06790143344551325,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,1,early,random_orthogonal,1.0,-0.00038853268399684877,0.7325162589550018,58.147106647491455,0.06583604216575623,0.0,0.5815681964159012,0.1337865935638547,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,4,late,label_shuffled,-1.0,0.005104588264845745,0.9805957078933716,46.211440324783325,0.0693057794123888,0.0,0.4963090531527996,0.09919571038335562,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,4,late,label_shuffled,1.0,-0.00222439214002979,0.9819384515285492,45.03072237968445,0.06651194207370281,0.0,0.3867677338421345,0.07285285647958517,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,4,late,mean_diff,-1.0,0.003416920060133735,1.0041045844554901,47.45980906486511,0.07128989975899458,0.0,0.5109170190989971,0.1042098831385374,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,4,late,mean_diff,1.0,-0.00222439214002979,0.9844211786985397,45.738718032836914,0.06802759971469641,0.0,0.4827670603990555,0.08639179728925228,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,4,late,random_orthogonal,-1.0,-0.0014099112758106692,0.762506976723671,57.71667265892029,0.10331370681524277,0.0,1.2174854427576065,0.22979487851262093,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,first_generated,4,late,random_orthogonal,1.0,0.001161702096681785,1.0633060932159424,65.71698904037476,0.11052181385457516,0.0,0.8212022632360458,0.1950206682085991,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,last_prompt,1,early,label_shuffled,-1.0,-0.0015672526745048616,19.74952459335327,687.2871408462524,0.275774784386158,0.3859309545309495,3.9201114177703857,0.5532327890396118,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,last_prompt,1,early,label_shuffled,1.0,-0.001967017424313694,0.654784768819809,27.429628491401672,0.026231421157717705,0.0,0.15118289925158024,0.03661034442484379,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,last_prompt,1,early,mean_diff,-1.0,-0.0015672526745048616,18.477670669555664,604.422682762146,0.18973123654723167,0.5485956412084456,3.217127799987793,0.4906965345144272,4
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,last_prompt,1,early,mean_diff,1.0,-0.008340660539009045,0.587136521935463,29.47207009792328,0.029236887115985155,0.0,0.15983087569475174,0.039393783546984196,4
